id,club_id,match_id,players_id,matchperiod,eventsec,eventname,action,modifier,x_begin,y_begin,x_end,y_end,is_success
2183758,6,985,359,2H,2351.0267620000004,Pass,Cross,high,80,97,90.0,67.0,f
2183773,59,985,575,2H,2435.916242,Duel,Ground attacking duel,lost,94,92,92.0,98.0,f
2183799,6,985,2162,2H,2517.496759,Shot,Shot,opportunity,79,39,100.0,100.0,f
2183825,6,985,3234,2H,2608.348304,Pass,High pass,through,70,36,100.0,75.0,f
2183852,6,985,359,2H,2763.0449310000004,Free Kick,Throw in,,15,100,11.0,88.0,f
2183865,59,985,2065,2H,2846.434631,Duel,Ground attacking duel,lost,28,20,30.0,14.0,f
2183883,59,985,304,2H,2934.403028,Pass,Launch,,29,54,0.0,0.0,f
2182836,6,985,287,1H,1079.04907,Others on the ball,Touch,interception,62,32,89.0,29.0,
2182976,59,985,311,1H,1707.176321,Others on the ball,Touch,interception,31,26,30.0,17.0,
2183332,6,985,282,2H,417.16402699999986,Others on the ball,Touch,interception,68,11,84.0,3.0,
2183559,59,985,71,2H,1411.7808960000002,Others on the ball,Touch,interception,3,87,0.0,72.0,
2183800,59,985,216,2H,2518.96774,Others on the ball,Touch,interception,11,52,10.0,57.0,
2182629,59,985,71,1H,90.19563900000003,Others on the ball,Touch,interception,7,95,13.0,100.0,
2182951,59,985,389,1H,1646.644381,Others on the ball,Touch,interception,25,62,13.0,33.0,
2183184,59,985,1739,1H,2548.801902,Others on the ball,Touch,interception,4,55,68.0,4.0,
2183531,59,985,71,2H,1323.7793810000005,Others on the ball,Touch,interception,12,84,8.0,100.0,
2183653,59,985,216,2H,1867.805926,Others on the ball,Touch,interception,9,71,0.0,0.0,
2182612,6,985,1839,1H,50.991450999999984,Others on the ball,Touch,interception,20,30,20.0,36.0,
2182946,59,985,71,1H,1616.575264,Others on the ball,Touch,interception,6,91,0.0,86.0,
2183115,6,985,282,1H,2317.126826,Others on the ball,Touch,interception,24,3,40.0,9.0,
2183362,6,985,3234,2H,519.798534,Others on the ball,Touch,interception,15,41,32.0,25.0,
2183645,59,985,71,2H,1836.826321,Others on the ball,Touch,interception,9,84,0.0,100.0,
2183803,6,985,2162,2H,2522.42506,Others on the ball,Touch,interception,86,32,97.0,27.0,
2182784,59,985,2065,1H,890.5587399999998,Others on the ball,Touch,interception,9,31,23.0,15.0,
2182954,6,985,359,1H,1653.454243,Others on the ball,Touch,interception,46,81,51.0,100.0,
2183233,6,985,287,2H,50.80721700000004,Others on the ball,Touch,interception,93,83,91.0,100.0,
2183537,59,985,304,2H,1352.009215,Others on the ball,Touch,interception,16,43,9.0,38.0,
2183676,6,985,282,2H,1971.772104,Others on the ball,Touch,interception,19,60,13.0,25.0,
2182593,59,985,403,1H,11.951887999999997,Pass,Simple pass,,28,60,31.0,85.0,t
2182599,59,985,389,1H,22.512077000000005,Pass,Simple pass,,39,24,43.0,51.0,t
2182603,59,985,71,1H,29.712762999999995,Pass,Simple pass,,54,91,30.0,55.0,t
2182608,6,985,3234,1H,45.66246000000001,Duel,Ground attacking duel,neutral,4,27,2.0,31.0,t
2182618,6,985,1242,1H,61.31563699999998,Pass,Head pass,interception,35,66,54.0,61.0,t
2182622,6,985,2162,1H,71.78846399999998,Pass,Simple pass,,60,6,67.0,4.0,t
2182631,6,985,2162,1H,154.912871,Free Kick,Throw in,,90,0,99.0,4.0,t
2182636,6,985,359,1H,186.993105,Free Kick,Corner,,100,0,96.0,26.0,t
2182647,59,985,1314,1H,264.495195,Free Kick,Free Kick,,64,77,84.0,22.0,t
2182654,59,985,1739,1H,368.498524,Free Kick,Free Kick,,28,76,66.0,13.0,t
2182658,59,985,2065,1H,376.75374,Pass,Simple pass,,58,22,29.0,40.0,t
2182665,59,985,71,1H,419.28974000000005,Free Kick,Throw in,,38,100,67.0,87.0,t
2182673,6,985,1839,1H,425.625183,Pass,Simple pass,,30,20,40.0,26.0,t
2182679,6,985,1242,1H,436.540888,Duel,Ground attacking duel,won,62,93,67.0,90.0,t
2182687,6,985,2162,1H,503.116003,Pass,Simple pass,,85,2,78.0,5.0,t
